extra_trees_bin_nc15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
2.60,0.00,1.00,0.53,0.00,0.76,0.00
2.70,0.00,1.00,0.53,0.00,0.76,0.00
2.80,0.00,1.00,0.53,0.00,0.76,0.00
2.90,0.00,1.00,0.53,0.00,0.76,0.00

ridge_kfold_bin_nc15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.45,0.00,0.76,0.00
-2.90,1.00,0.00,0.45,0.00,0.76,0.00
-2.80,1.00,0.00,0.45,0.00,0.76,0.00
-2.70,1.00,0.00,0.45,0.00,0.76,0.00
-2.60,1.00,0.00,0.45,0.00,0.76,0.00
-2.50,1.00,0.00,0.45,0.00,0.76,0.00
-2.40,1.00,0.00,0.45,0.00,0.76,0.00
-2.30,1.00,0.00,0.45,0.00,0.76,0.00
-2.20,1.00,0.00,0.45,0.00,0.76,0.00
-2.10,1.00,0.00,0.45,0.00,0.76,0.00
-2.00,1.00,0.00,0.45,0.00,0.76,0.00
-1.90,1.00,0.00,0.45,0.00,0.76,0.00
-1.80,1.00,0.00,0.45,0.00,0.76,0.00
-1.70,1.00,0.00,0.45,0.00,0.76,0.00
-1.60,1.00,0.00,0.45,0.00,0.76,0.00
-1.50,1.00,0.00,0.45,0.00,0.76,0.00
-1.40,1.00,0.00,0.45,0.00,0.76,0.00
-1.30,1.00,0.00,0.45,0.00,0.76,0.00
-1.20,1.00,0.00,0.45,0.00,0.76,0.00
-1.10,1.00,0.00,0.45,0.00,0.76,0.00
-1.00,1.00,0.00,0.45,0.00,0.76,0.00
-0.90,1.00,0.00,0.45,0.00,0.76,0.00
-0.80,1.00,0.00,0.45,0.00,0.76,0.00
-0.70,1.00,0.03,0.47,0.12,0.76,0.03
-0.60,1.00,0.06,0.48,0.17,0.76,0.05
-0.50,1.00,0.12,0.52,0.24,0.76,0.11
-0.40,0.96,0.15,0.52,0.19,0.76,0.10
-0.30,0.96,0.30,0.60,0.34,0.76,0.25
-0.20,0.85,0.52,0.67,0.38,0.76,0.35
-0.10,0.81,0.73,0.77,0.54,0.76,0.53
0.00,0.59,0.73,0.67,0.32,0.76,0.32
0.10,0.52,0.79,0.67,0.32,0.76,0.31
0.20,0.41,0.85,0.65,0.29,0.76,0.27
0.30,0.26,0.94,0.63,0.28,0.76,0.21
0.40,0.19,0.97,0.62,0.26,0.76,0.17
0.50,0.07,1.00,0.58,0.21,0.76,0.08
0.60,0.04,1.00,0.57,0.14,0.76,0.04
0.70,0.00,1.00,0.55,0.00,0.76,0.00
0.80,0.00,1.00,0.55,0.00,0.76,0.00
0.90,0.00,1.00,0.55,0.00,0.76,0.00
1.00,0.00,1.00,0.55,0.00,0.76,0.00
1.10,0.00,1.00,0.55,0.00,0.76,0.00
1.20,0.00,1.00,0.55,0.00,0.76,0.00
1.30,0.00,1.00,0.55,0.00,0.76,0.00
1.40,0.00,1.00,0.55,0.00,0.76,0.00
1.50,0.00,1.00,0.55,0.00,0.76,0.00
1.60,0.00,1.00,0.55,0.00,0.76,0.00
1.70,0.00,1.00,0.55,0.00,0.76,0.00
1.80,0.00,1.00,0.55,0.00,0.76,0.00
1.90,0.00,1.00,0.55,0.00,0.76,0.00
2.00,0.00,1.00,0.55,0.00,0.76,0.00
2.10,0.00,1.00,0.55,0.00,0.76,0.00
2.20,0.00,1.00,0.55,0.00,0.76,0.00
2.30,0.00,1.00,0.55,0.00,0.76,0.00
2.40,0.00,1.00,0.55,0.00,0.76,0.00
2.50,0.00,1.00,0.55,0.00,0.76,0.00
2.60,0.00,1.00,0.55,0.00,0.76,0.00
2.70,0.00,1.00,0.55,0.00,0.76,0.00
2.80,0.00,1.00,0.55,0.00,0.76,0.00
2.90,0.00,1.00,0.55,0.00,0.76,0.00

svm_bin_nc15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.47,0.00,0.72,0.00
-2.90,1.00,0.00,0.47,0.00,0.72,0.00
-2.80,1.00,0.00,0.47,0.00,0.72,0.00
-2.70,1.00,0.00,0.47,0.00,0.72,0.00
-2.60,1.00,0.00,0.47,0.00,0.72,0.00
-2.50,1.00,0.00,0.47,0.00,0.72,0.00
-2.40,1.00,0.00,0.47,0.00,0.72,0.00
-2.30,1.00,0.00,0.47,0.00,0.72,0.00
-2.20,1.00,0.00,0.47,0.00,0.72,0.00
-2.10,1.00,0.00,0.47,0.00,0.72,0.00
-2.00,1.00,0.00,0.47,0.00,0.72,0.00
-1.90,1.00,0.00,0.47,0.00,0.72,0.00
-1.80,1.00,0.00,0.47,0.00,0.72,0.00
-1.70,1.00,0.00,0.47,0.00,0.72,0.00
-1.60,1.00,0.00,0.47,0.00,0.72,0.00
-1.50,0.99,0.01,0.48,0.03,0.72,0.01
-1.40,0.99,0.03,0.48,0.04,0.72,0.01
-1.30,0.98,0.03,0.48,0.01,0.72,0.00
-1.20,0.98,0.07,0.50,0.11,0.72,0.05
-1.10,0.96,0.13,0.52,0.16,0.72,0.09
-1.00,0.90,0.21,0.54,0.15,0.72,0.10
-0.90,0.86,0.28,0.56,0.17,0.72,0.14
-0.80,0.82,0.42,0.61,0.25,0.72,0.23
-0.70,0.78,0.51,0.64,0.29,0.72,0.28
-0.60,0.69,0.57,0.63,0.27,0.72,0.26
-0.50,0.67,0.65,0.66,0.32,0.72,0.32
-0.40,0.64,0.70,0.68,0.35,0.72,0.35
-0.30,0.58,0.76,0.68,0.35,0.72,0.34
-0.20,0.52,0.81,0.67,0.34,0.72,0.33
-0.10,0.46,0.84,0.66,0.33,0.72,0.31
0.00,0.43,0.87,0.66,0.33,0.72,0.30
0.10,0.40,0.91,0.67,0.36,0.72,0.31
0.20,0.35,0.93,0.66,0.35,0.72,0.29
0.30,0.33,0.96,0.66,0.38,0.72,0.30
0.40,0.29,0.97,0.65,0.37,0.72,0.27
0.50,0.26,0.98,0.64,0.35,0.72,0.25
0.60,0.24,0.99,0.63,0.35,0.72,0.23
0.70,0.22,1.00,0.63,0.36,0.72,0.23
0.80,0.17,1.00,0.61,0.32,0.72,0.18
0.90,0.14,1.00,0.59,0.28,0.72,0.15
1.00,0.08,1.00,0.57,0.21,0.72,0.09
1.10,0.04,1.00,0.55,0.15,0.72,0.04
1.20,0.03,1.00,0.54,0.14,0.72,0.04
1.30,0.03,1.00,0.54,0.12,0.72,0.03
1.40,0.02,1.00,0.54,0.11,0.72,0.02
1.50,0.02,1.00,0.54,0.11,0.72,0.02
1.60,0.01,1.00,0.53,0.06,0.72,0.01
1.70,0.01,1.00,0.53,0.06,0.72,0.01
1.80,0.00,1.00,0.53,0.00,0.72,0.00
1.90,0.00,1.00,0.53,0.00,0.72,0.00
2.00,0.00,1.00,0.53,0.00,0.72,0.00
2.10,0.00,1.00,0.53,0.00,0.72,0.00
2.20,0.00,1.00,0.53,0.00,0.72,0.00
2.30,0.00,1.00,0.53,0.00,0.72,0.00
2.40,0.00,1.00,0.53,0.00,0.72,0.00
2.50,0.00,1.00,0.53,0.00,0.72,0.00
2.60,0.00,1.00,0.53,0.00,0.72,0.00
2.70,0.00,1.00,0.53,0.00,0.72,0.00
2.80,0.00,1.00,0.53,0.00,0.72,0.00
2.90,0.00,1.00,0.53,0.00,0.72,0.00

svm_kfold_bin_nc15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.45,0.00,0.72,0.00
-2.90,1.00,0.00,0.45,0.00,0.72,0.00
-2.80,1.00,0.00,0.45,0.00,0.72,0.00
-2.70,1.00,0.00,0.45,0.00,0.72,0.00
-2.60,1.00,0.00,0.45,0.00,0.72,0.00
-2.50,1.00,0.00,0.45,0.00,0.72,0.00
-2.40,1.00,0.00,0.45,0.00,0.72,0.00
-2.30,1.00,0.00,0.45,0.00,0.72,0.00
-2.20,1.00,0.00,0.45,0.00,0.72,0.00
-2.10,1.00,0.00,0.45,0.00,0.72,0.00
-2.00,1.00,0.00,0.45,0.00,0.72,0.00
-1.90,1.00,0.00,0.45,0.00,0.72,0.00
-1.80,1.00,0.00,0.45,0.00,0.72,0.00
-1.70,1.00,0.00,0.45,0.00,0.72,0.00
-1.60,1.00,0.00,0.45,0.00,0.72,0.00
-1.50,1.00,0.00,0.45,0.00,0.72,0.00
-1.40,1.00,0.00,0.45,0.00,0.72,0.00
-1.30,1.00,0.00,0.45,0.00,0.72,0.00
-1.20,1.00,0.00,0.45,0.00,0.72,0.00
-1.10,1.00,0.00,0.45,0.00,0.72,0.00
-1.00,1.00,0.03,0.47,0.12,0.72,0.03
-0.90,1.00,0.06,0.48,0.17,0.72,0.05
-0.80,0.96,0.18,0.53,0.22,0.72,0.13
-0.70,0.89,0.30,0.57,0.23,0.72,0.18
-0.60,0.74,0.48,0.60,0.23,0.72,0.22
-0.50,0.67,0.73,0.70,0.39,0.72,0.39
-0.40,0.48,0.85,0.68,0.36,0.72,0.34
-0.30,0.41,0.88,0.67,0.33,0.72,0.30
-0.20,0.33,0.91,0.65,0.30,0.72,0.26
-0.10,0.26,0.91,0.62,0.22,0.72,0.18
0.00,0.19,0.97,0.62,0.26,0.72,0.17
0.10,0.19,0.97,0.62,0.26,0.72,0.17
0.20,0.11,1.00,0.60,0.25,0.72,0.12
0.30,0.11,1.00,0.60,0.25,0.72,0.12
0.40,0.07,1.00,0.58,0.21,0.72,0.08
0.50,0.04,1.00,0.57,0.14,0.72,0.04
0.60,0.00,1.00,0.55,0.00,0.72,0.00
0.70,0.00,1.00,0.55,0.00,0.72,0.00
0.80,0.00,1.00,0.55,0.00,0.72,0.00
0.90,0.00,1.00,0.55,0.00,0.72,0.00
1.00,0.00,1.00,0.55,0.00,0.72,0.00
1.10,0.00,1.00,0.55,0.00,0.72,0.00
1.20,0.00,1.00,0.55,0.00,0.72,0.00
1.30,0.00,1.00,0.55,0.00,0.72,0.00
1.40,0.00,1.00,0.55,0.00,0.72,0.00
1.50,0.00,1.00,0.55,0.00,0.72,0.00
1.60,0.00,1.00,0.55,0.00,0.72,0.00
1.70,0.00,1.00,0.55,0.00,0.72,0.00
1.80,0.00,1.00,0.55,0.00,0.72,0.00
1.90,0.00,1.00,0.55,0.00,0.72,0.00
2.00,0.00,1.00,0.55,0.00,0.72,0.00
2.10,0.00,1.00,0.55,0.00,0.72,0.00
2.20,0.00,1.00,0.55,0.00,0.72,0.00
2.30,0.00,1.00,0.55,0.00,0.72,0.00
2.40,0.00,1.00,0.55,0.00,0.72,0.00
2.50,0.00,1.00,0.55,0.00,0.72,0.00
2.60,0.00,1.00,0.55,0.00,0.72,0.00
2.70,0.00,1.00,0.55,0.00,0.72,0.00
2.80,0.00,1.00,0.55,0.00,0.72,0.00
2.90,0.00,1.00,0.55,0.00,0.72,0.00

