extra_trees_aac.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-0.80,1.00,0.25,0.61,0.37,0.95,0.24
-0.70,1.00,0.33,0.65,0.43,0.95,0.32
-0.60,1.00,0.42,0.70,0.51,0.95,0.42
-0.50,0.97,0.53,0.74,0.55,0.95,0.49
-0.40,0.95,0.62,0.78,0.60,0.95,0.56
-0.30,0.95,0.75,0.84,0.71,0.95,0.69
-0.20,0.95,0.82,0.88,0.77,0.95,0.77
-0.10,0.92,0.88,0.90,0.79,0.95,0.79
0.00,0.86,0.88,0.87,0.74,0.95,0.74
0.10,0.81,0.95,0.88,0.77,0.95,0.76
0.20,0.76,0.97,0.87,0.75,0.95,0.74
0.30,0.68,1.00,0.84,0.72,0.95,0.68
0.40,0.54,1.00,0.78,0.62,0.95,0.55
0.50,0.49,1.00,0.75,0.57,0.95,0.50
0.60,0.35,1.00,0.69,0.47,0.95,0.36
0.70,0.27,1.00,0.65,0.40,0.95,0.28
0.80,0.24,1.00,0.64,0.38,0.95,0.25
0.90,0.22,1.00,0.62,0.35,0.95,0.22
1.00,0.19,1.00,0.61,0.33,0.95,0.20
1.10,0.14,1.00,0.58,0.27,0.95,0.14
1.20,0.05,1.00,0.55,0.17,0.95,0.06
1.30,0.05,1.00,0.55,0.17,0.95,0.06
1.40,0.00,1.00,0.52,0.00,0.95,0.00
1.50,0.00,1.00,0.52,0.00,0.95,0.00
1.60,0.00,1.00,0.52,0.00,0.95,0.00
1.70,0.00,1.00,0.52,0.00,0.95,0.00
1.80,0.00,1.00,0.52,0.00,0.95,0.00
1.90,0.00,1.00,0.52,0.00,0.95,0.00
2.00,0.00,1.00,0.52,0.00,0.95,0.00
2.10,0.00,1.00,0.52,0.00,0.95,0.00
2.20,0.00,1.00,0.52,0.00,0.95,0.00
2.30,0.00,1.00,0.52,0.00,0.95,0.00
2.40,0.00,1.00,0.52,0.00,0.95,0.00
2.50,0.00,1.00,0.52,0.00,0.95,0.00
2.60,0.00,1.00,0.52,0.00,0.95,0.00
2.70,0.00,1.00,0.52,0.00,0.95,0.00
2.80,0.00,1.00,0.52,0.00,0.95,0.00
2.90,0.00,1.00,0.52,0.00,0.95,0.00

svm_aac.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.04,0.52,0.14,0.97,0.04
-2.90,1.00,0.05,0.52,0.16,0.97,0.05
-2.80,1.00,0.07,0.53,0.19,0.97,0.07
-2.70,1.00,0.09,0.55,0.22,0.97,0.09
-2.60,1.00,0.12,0.56,0.25,0.97,0.12
-2.50,1.00,0.15,0.57,0.28,0.97,0.15
-2.40,1.00,0.18,0.59,0.31,0.97,0.17
-2.30,1.00,0.21,0.60,0.34,0.97,0.21
-2.20,1.00,0.24,0.62,0.37,0.97,0.24
-2.10,0.99,0.27,0.63,0.38,0.97,0.26
-2.00,0.99,0.31,0.65,0.41,0.97,0.30
-1.90,0.99,0.35,0.67,0.44,0.97,0.33
-1.80,0.99,0.40,0.69,0.48,0.97,0.39
-1.70,0.99,0.42,0.70,0.50,0.97,0.41
-1.60,0.99,0.47,0.73,0.54,0.97,0.46
-1.50,0.99,0.51,0.75,0.57,0.97,0.49
-1.40,0.99,0.55,0.77,0.60,0.97,0.54
-1.30,0.99,0.58,0.78,0.62,0.97,0.57
-1.20,0.98,0.61,0.80,0.64,0.97,0.59
-1.10,0.98,0.64,0.81,0.66,0.97,0.62
-1.00,0.97,0.69,0.83,0.69,0.97,0.66
-0.90,0.96,0.72,0.84,0.70,0.97,0.68
-0.80,0.96,0.75,0.86,0.73,0.97,0.71
-0.70,0.96,0.79,0.88,0.76,0.97,0.75
-0.60,0.95,0.81,0.88,0.77,0.97,0.76
-0.50,0.95,0.84,0.89,0.79,0.97,0.78
-0.40,0.94,0.87,0.90,0.81,0.97,0.81
-0.30,0.93,0.89,0.91,0.83,0.97,0.82
-0.20,0.93,0.91,0.92,0.83,0.97,0.83
-0.10,0.92,0.92,0.92,0.84,0.97,0.84
0.00,0.90,0.93,0.92,0.84,0.97,0.83
0.10,0.89,0.94,0.91,0.83,0.97,0.83
0.20,0.88,0.95,0.91,0.83,0.97,0.82
0.30,0.86,0.96,0.91,0.83,0.97,0.82
0.40,0.83,0.97,0.90,0.82,0.97,0.81
0.50,0.81,0.97,0.89,0.80,0.97,0.79
0.60,0.80,0.98,0.89,0.79,0.97,0.78
0.70,0.77,0.98,0.88,0.77,0.97,0.75
0.80,0.76,0.98,0.87,0.76,0.97,0.74
0.90,0.73,0.98,0.86,0.74,0.97,0.72
1.00,0.69,0.99,0.84,0.72,0.97,0.68
1.10,0.64,0.99,0.82,0.68,0.97,0.64
1.20,0.60,0.99,0.80,0.64,0.97,0.59
1.30,0.57,0.99,0.78,0.62,0.97,0.57
1.40,0.53,0.99,0.76,0.59,0.97,0.52
1.50,0.48,0.99,0.74,0.55,0.97,0.47
1.60,0.44,0.99,0.72,0.52,0.97,0.43
1.70,0.39,0.99,0.69,0.48,0.97,0.38
